"Lastname","Firstname","Year","AB","H","X2B","X3B","HR"
"Appling","Luke",1941,592,186,26,8,1
"Benjamin","Stan",1941,480,113,20,7,3
"Berardino","Johnny",1941,469,127,30,4,5
"Bloodworth","Jimmy",1941,506,124,24,3,7
"Boudreau","Lou",1941,579,149,45,8,10
"Bragan","Bobby",1941,557,140,19,3,4
"Brancato","Al",1941,530,124,20,9,2
"Brown","Jimmy",1941,549,168,28,9,3
"Camilli","Dolph",1941,529,151,29,6,34
"Campbell","Bruce",1941,512,141,28,10,15
"Case","George",1941,649,176,32,8,2
"Chapman","Sam",1941,552,178,29,9,25
"Clift","Harlond",1941,584,149,33,9,17
"Cooney","Johnny",1941,442,141,25,2,0
"Craft","Harry",1941,413,103,15,2,10
"Cramer","Doc",1941,660,180,25,6,2
"Crespi","Creepy",1941,560,156,24,2,4
"Cronin","Joe",1941,518,161,38,8,16
"Croucher","Frank",1941,489,124,21,4,2
"Cullenbine","Roy",1941,501,159,29,9,9
"Dallessandro","Dom",1941,486,132,36,2,6
"Danning","Harry",1941,459,112,22,4,7
"DiMaggio","Dom",1941,584,165,37,6,8
"DiMaggio","Joe",1941,541,193,43,11,30
"DiMaggio","Vince",1941,528,141,27,5,21
"Doerr","Bobby",1941,500,141,28,4,16
"Elliott","Bob",1941,527,144,24,10,3
"Etten","Nick",1941,540,168,27,4,14
"Finney","Lou",1941,497,143,24,10,4
"Fletcher","Elbie",1941,521,150,29,13,11
"Foxx","Jimmie",1941,487,146,27,8,19
"Frey","Lonny",1941,543,138,29,5,6
"Gehringer","Charlie",1941,436,96,19,4,3
"Gordon","Joe",1941,588,162,26,7,24
"Gustine","Frankie",1941,463,125,24,7,1
"Hack","Stan",1941,586,186,33,5,7
"Handley","Lee",1941,459,132,18,4,0
"Hassett","Buddy",1941,405,120,9,4,1
"Hayes","Frankie",1941,439,123,27,4,12
"Heath","Jeff",1941,585,199,32,20,24
"Henrich","Tommy",1941,538,149,27,5,31
"Herman","Billy",1941,536,156,30,4,3
"Higgins","Pinky",1941,540,161,28,3,11
"Hopp","Johnny",1941,445,135,25,11,4
"Johnson","Bob",1941,552,152,30,8,22
"Joost","Eddie",1941,537,136,25,4,4
"Judnich","Wally",1941,546,155,40,6,14
"Jurges","Billy",1941,471,138,25,2,5
"Keller","Charlie",1941,507,151,24,10,33
"Keltner","Ken",1941,581,156,31,13,23
"Kreevich","Mike",1941,436,101,16,8,0
"Kuhel","Joe",1941,600,150,39,5,12
"Lavagetto","Cookie",1941,441,122,24,7,1
"Lewis","Buddy",1941,569,169,29,11,9
"Litwhiler","Danny",1941,590,180,29,6,18
"Mack","Ray",1941,500,114,22,4,9
"Marion","Marty",1941,547,138,22,3,3
"Marty","Joe",1941,477,128,19,3,8
"May","Pinky",1941,490,131,17,4,0
"McCormick","Frank",1941,603,162,31,5,17
"McCosky","Barney",1941,494,160,25,8,3
"McCoy","Benny",1941,517,140,12,7,8
"McCullough","Clyde",1941,418,95,9,2,9
"McQuinn","George",1941,495,147,28,4,18
"Medwick","Joe",1941,538,171,33,10,18
"Miller","Eddie",1941,585,140,27,3,6
"Mize","Johnny",1941,473,150,39,8,16
"Moore","Jo-Jo",1941,428,117,16,2,7
"Moore","Terry",1941,493,145,26,4,6
"Moses","Wally",1941,438,132,31,4,4
"Nicholson","Bill",1941,532,135,26,1,26
"Ott","Mel",1941,525,150,29,0,27
"Reese","Pee Wee",1941,595,136,23,5,2
"Reiser","Pete",1941,536,184,39,17,14
"Rizzuto","Phil",1941,515,158,20,9,3
"Rolfe","Red",1941,561,148,22,5,8
"Rowell","Bama",1941,483,129,23,6,7
"Rucker","Johnny",1941,622,179,38,9,1
"Siebert","Dick",1941,467,156,28,8,5
"Sisti","Sibby",1941,541,140,24,3,1
"Slaughter","Enos",1941,425,132,22,9,13
"Stringer","Lou",1941,512,126,31,4,5
"Sturgeon","Bobby",1941,433,106,15,3,0
"Sturm","Johnny",1941,524,125,17,3,3
"Suder","Pete",1941,531,130,20,9,4
"Tabor","Jim",1941,498,139,29,3,16
"Travis","Cecil",1941,608,218,39,19,7
"VanRobays","Maurice",1941,457,129,23,5,4
"Vernon","Mickey",1941,531,159,27,11,9
"Walker","Dixie",1941,531,165,32,8,9
"Walker","Gee",1941,445,126,26,11,6
"Werber","Billy",1941,418,100,9,2,4
"West","Max",1941,484,134,28,4,12
"Whitehead","Burgess",1941,403,92,15,4,1
"Williams","Ted",1941,456,185,33,3,37
"Wright","Taffy",1941,513,165,35,5,10
"York","Rudy",1941,590,153,29,3,27
"Young","Babe",1941,574,152,28,5,25
